id	number	sample_date	species	location	sublocation
030322-01-01	01	030322	treefern	Jockies	Jockies02
030322-02-01	02	030322	flax	Jockies	Jockies02
030322-03-01	03	030322	whiteweed	Newfoundland	Newfoundland02
030322-04-02	04	030322	treefern	Cuckol	Cuckol03
030322-05-01	05	030322	blackcabbagetree	Cuckol	Cuckol03
030322-06-02	06	030322	flax	Warrens	Warrens06
030322-07-03	07	030322	treefern	Warrens	Warrens06
030322-08-02	08	030322	blackcabbagetree	Warrens	Warrens06
040322-09-01	09	040322	dogwood	Taylors	Taylors10
040322-10-03	10	040322	treefern	Taylors	Taylors10
040322-11-03	11	040322	whiteweed	Taylors	Taylors10
040322-12-03	12	040322	blackcabbagetree	Taylors	Taylors10
040322-13-02	13	040322	dogwood	Cuckol	Cuckol03
040322-14-03	14	040322	dogwood	Actae	Actae09
040322-15-05	15	040322	treefern	Actae	Actae09
040322-15-03	16	040322	blackcabbagetree	Actae	Actae09
040322-15-04	17	040322	blackcabbagetree	Warrens	Warrens05
040322-17-04	18	040322	treefern	Warrens	Warrens05
040322-18-04	19	040322	dogwood	75D1BlackgateNurseryFieldGeneBank	75D1BlackgateNurseryFieldGeneBank
050322-19-05	20	050322	dogwood	HighPeak	TheDellHighPeak
050322-22-06	21	050322	blackcabbagetree	HighPeak	TheDellHighPeak
050322-23-05	22	050322	flax	HighPeak	HighPeak
050322-24-04	23	050322	flax	HighPeak	TheDellHighPeak
060322-24-04	24	050322	flax	HighPeak	TheDellHighPeak
050322-25-07	25	050322	dogwood	HighPeak	HighPeak
050322-26-04	26	050322	whiteweed	HighPeak	HighPeak
050322-27-06	27	050322	treefern	HighPeak	HighPeak
060322-29-03	28	060322	whiteweed	Taylors	Taylors96
060322-30-08	29	060322	blackcabbagetree	Taylors	Taylors95
060322-31-05	30	060322	flax	Taylors	Taylors96
060322-32-07	31	060322	treefern	Taylors	Taylors96
060322-32-08	32	060322	dogwood	Wells	Wells05
060322-34-09	33	060322	dogwood	Wells	Wells01
060322-35-06	34	060322	blackcabbagetree	Wells	Wells03
060322-36-07	35	060322	flax	Wells	Wells05
060322-37-04	36	060322	whiteweed	Wells	Wells05
060322-38-08	37	060322	treefern	Wells	Wells01
070322-39-05	38	070322	whiteweed	GBArboretum	GBArboretum
070322-40-10	39	070322	dogwood	GBArboretum	GBArboretum
070322-41-08	40	070322	flax	GBArboretum	GBArboretum
070322-42-06	41	070322	whiteweed	Casons	Casons
070322-43-09	42	070322	treefern	GBArboretum	GBArboretum
070322-44-10	43	070322	treefern	Casons	Casons
070322-45-09	44	070322	flax	Casons	Casons
080322-46-01	45	080322	barren	HaulRoad	HaulRoad
080322-47-02	46	080322	barren	HaulRoad	HaulRoad
080322-48-03	47	080322	barren	HaulRoad	HaulRoad
080322-49-04	48	080322	barren	NrFlagstaff	NrFlagstaff
080322-50-05	49	080322	barren	NrFlagstaff	NrFlagstaff
280222-001-ST-CGTB01	50	280222	borehole	CasonsGateBorehole	CasonsGateBorehole
020322-003-2B-SW01WG	51	020322	borehole	WellsGutUpper	WellsGutUpper
020322-003-004-2B-FGBH01	52	020322	borehole	FrenchsGut	FrenchsGut
010322-003-003-AL	53	010322	borehole	WillowBankPumpingStation	WillowBankPumpingStation
010322-003	54	010322	borehole	FishersValleyPumpHouse	FishersValleyPumpHouse
040322	55	040322	dogwood	Jockies	Jockies02
240622	56	240622	control	NA	NA
290622	57	290622	control	NA	NA
010722	58	010722	control	NA	NA
040722	59	040722	control	NA	NA
050722	60	050722	control	NA	NA
